IMT,IMD,TREATMENT
1065,31.2409987036,CONTROL
1155,24.0416305603,CONTROL
1485,4.472135955,CONTROL
1155,13.8924439894,CONTROL
1110,36.6196668472,CONTROL
1125,11.313708499,CONTROL
1020,16.0312195419,CONTROL
1200,36.8917334914,CONTROL
1095,49.1629942131,CONTROL
1470,13.0384048104,CONTROL
1065,13.4536240471,CONTROL
1470,4.0,CONTROL
1365,51.9711458407,CONTROL
1215,21.6333076528,CONTROL
1200,9.05538513814,CONTROL
1245,6.40312423743,CONTROL
1575,20.8086520467,CONTROL
1260,16.9705627485,CONTROL
1185,20.3960780544,CONTROL
1065,59.4810894319,CONTROL
1290,17.0293863659,CONTROL
1800,19.2353840617,CONTROL
1515,28.0178514522,CONTROL
1260,23.8537208838,CONTROL
1050,11.401754251,CONTROL
1215,13.416407865,CONTROL
1140,25.5538646784,CONTROL
1950,20.591260282,CONTROL
1125,27.8567765544,CONTROL
2175,47.0956473573,CONTROL
1335,23.5372045919,CONTROL
1245,47.759815745,CONTROL
1065,41.5932686862,CONTROL
1815,11.313708499,CONTROL
1440,64.3272881443,CONTROL
1185,58.1807528312,CONTROL
1350,68.4105255059,CONTROL
1290,24.5967477525,CONTROL
1140,52.0096144958,CONTROL
1455,43.2781700168,CONTROL
1125,23.769728648,CONTROL
1665,48.7031826475,CONTROL
2115,18.6010752377,CONTROL
945,60.0166643525,CONTROL
930,6.40312423743,CONTROL
1035,38.5875627631,CONTROL
2040,50.931326313,CONTROL
1620,26.1725046566,CONTROL
1050,6.7082039325,CONTROL
2310,85.7029754443,CONTROL
1080,61.400325732,CONTROL
2175,86.0348766489,CONTROL
1260,6.7082039325,CONTROL
1215,74.7261667691,CONTROL
1095,51.6623654124,CONTROL
1800,42.2965719651,CONTROL
2295,35.3836120259,CONTROL
960,34.6554469023,CONTROL
1215,15.6204993518,CONTROL
2325,24.7588368063,CONTROL
1950,26.0192236625,CONTROL
1065,29.1547594742,CONTROL
1350,14.8660687473,CONTROL
2595,40.8044115262,CONTROL
2130,29.0,CONTROL
1890,39.2045915678,CONTROL
1995,24.1867732449,CONTROL
1350,62.6258732474,CONTROL
1215,40.6078810085,CONTROL
1365,136.003676421,CONTROL
1095,69.7782200977,CONTROL
2340,21.5406592285,CONTROL
1425,6.32455532034,CONTROL
1290,27.0185121722,CONTROL
1170,7.07106781187,CONTROL
1545,13.0384048104,CONTROL
1575,49.3355855342,CONTROL
930,26.4764045897,CONTROL
1140,33.7342555869,CONTROL
1530,61.9112267687,CONTROL
1395,25.0199920064,CONTROL
1710,41.4849370254,CONTROL
1380,22.6715680975,CONTROL
2370,98.005101908,CONTROL
1230,34.9284983931,CONTROL
915,47.0744091838,CONTROL
1125,77.0064932327,CONTROL
1200,18.8679622641,CONTROL
1185,32.8937684068,CONTROL
1305,24.0831891576,CONTROL
1455,14.4222051019,CONTROL
1035,50.0099990002,CONTROL
1140,20.2237484162,CONTROL
1740,67.1192967782,CONTROL
975,4.0,CONTROL
1110,53.3385414124,CONTROL
1110,42.201895692,CONTROL
1410,25.0,CONTROL
1305,61.1310068623,CONTROL
1215,53.0094331228,CONTROL
1140,41.400483089,CONTROL
1290,21.9317121995,CONTROL
1155,64.8999229584,CONTROL
1530,4.12310562562,CONTROL
1125,42.3792402008,CONTROL
1155,50.2493781056,CONTROL
1230,30.6757233004,CONTROL
1215,47.7074417675,CONTROL
990,80.062475605,CONTROL
1140,15.2315462117,CONTROL
